distance,metric,status,gateway_probabilities,epsilon,eta,prioritize_parallelism,replace_or_joins,output_dir,f_score,project_name,optimization_metric,mining_algorithm
0.4878557592013113,two_gram_distance,ok,discovery,0.09183689076993583,0.2028334611076555,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022933_DED26DAD_32EB_455C_8BFD_D1866AEF045E,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4893970266394989,two_gram_distance,ok,discovery,0.09183689076993583,0.2028334611076555,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022933_DED26DAD_32EB_455C_8BFD_D1866AEF045E,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4895152198421646,two_gram_distance,ok,discovery,0.09183689076993583,0.2028334611076555,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022933_DED26DAD_32EB_455C_8BFD_D1866AEF045E,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.49014612214312475,two_gram_distance,ok,discovery,0.08475186934381408,0.2035224568566798,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022848_2B04A36E_78D6_414C_A9E0_35AE17D86703,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4908077154912598,two_gram_distance,ok,discovery,0.08475186934381408,0.2035224568566798,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022848_2B04A36E_78D6_414C_A9E0_35AE17D86703,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4917293233082707,two_gram_distance,ok,discovery,0.0839349068226479,0.2001781231774294,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022911_03C5CA53_61E0_4A5E_8654_516033D116BB,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4933894230769231,two_gram_distance,ok,discovery,0.0839349068226479,0.2001781231774294,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022911_03C5CA53_61E0_4A5E_8654_516033D116BB,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.49606653180489996,two_gram_distance,ok,discovery,0.09183689076993583,0.2028334611076555,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022933_DED26DAD_32EB_455C_8BFD_D1866AEF045E,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.49668190532369855,two_gram_distance,ok,discovery,0.0839349068226479,0.2001781231774294,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022911_03C5CA53_61E0_4A5E_8654_516033D116BB,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.49792161520190026,two_gram_distance,ok,discovery,0.0839349068226479,0.2001781231774294,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022911_03C5CA53_61E0_4A5E_8654_516033D116BB,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.4995510326249626,two_gram_distance,ok,discovery,0.09183689076993583,0.2028334611076555,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022933_DED26DAD_32EB_455C_8BFD_D1866AEF045E,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.5012914176075567,two_gram_distance,ok,discovery,0.08475186934381408,0.2035224568566798,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022848_2B04A36E_78D6_414C_A9E0_35AE17D86703,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.5020174602010123,two_gram_distance,ok,discovery,0.11136074877230194,0.31220157900384937,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022655_639BE8F9_167C_436B_8495_6534E14AE855,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
0.5079502746458514,two_gram_distance,ok,discovery,0.0839349068226479,0.2001781231774294,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_021853_BC8B0EF7_EF81_4314_8CE3_F1B8ED3266B2\control-flow\iteration_20250303_022911_03C5CA53_61E0_4A5E_8654_516033D116BB,,BPIC_2012_train,TWO_GRAM_DISTANCE,Split Miner v1
