started_at,2012-03-19 10:10:00+00:00
completed_at,2013-02-21 09:46:58.876118+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_2,Pucci,1.3282799667349736,16264,9294000.000014,6997018.876118001,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_1,DIO,1.3612082757873323,16264,9524400.000012001,6997018.876118001,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_3,Jonathan,2.4410252855393266,27082,17079900.0,6997018.876118001,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_2,Jolyne,2.3258190792574833,27084,16273800.0,6997018.876118001,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_1,Giorno,2.5316210108365107,27084,17713800.0,6997018.876118001,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
L,4148,1.7976931348623157e+308,0,0,0,0.0,57810.73186285235,51.01570947638878,211613.16290806065,300.0,300.0000000000291,300.0,1244400.0,300.0,58110.73186285235,351.0157094763888,1456013.1629080607,0.0,230400.0,833.1726133076181,3456000.0,300.0,230700.0,1184.188322784007,4912013.1629080605,300.0,230700.0,1133.1726133076181,4700400.0,0.0,0,0.0,0.0
M,4148,1.7976931348623157e+308,0,0,0,0.0,365.5727028120309,8.928828410161358,37036.78024534931,300.0,300.0,300.0,1244400.0,300.0,665.5727028120309,308.9288284101614,1281436.7802453493,0.0,230400.0,805.4001928640308,3340800.0,300.0,230908.80211962946,1114.3290212741922,4622236.780245349,300.0,230700.0,1105.400192864031,4585200.0,0.0,0,0.0,0.0
F,1431,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0000000001164,300.00000000000006,429300.0000000001,300.0,300.0000000001164,300.00000000000006,429300.0000000001,0.0,230400.0,805.0314465408806,1152000.0,300.0,230700.00000000012,1105.0314465408806,1581300.0,300.0,230700.00000000012,1105.0314465408806,1581300.0,0.0,0,0.0,0.0
P,4000,1.7976931348623157e+308,0,0,0,0.0,57817.634404078126,24.33256660844331,97330.26643377324,300.0,300.00000000046566,300.0000000000001,1200000.0000000005,300.0,58117.634404078126,324.3325666084434,1297330.2664337736,0.0,230400.0,892.8,3571200.0,300.0,230700.00000000047,1217.1325666084433,4868530.266433774,300.0,230700.00000000047,1192.8,4771200.0,0.0,0,0.0,0.0
G,1431,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,429300.0,300.0,300.0,300.0,429300.0,0.0,230400.0,845.2830188679245,1209600.0,300.0,230700.0,1145.2830188679245,1638900.0,300.0,230700.0,1145.2830188679245,1638900.0,0.0,0,0.0,0.0
H,1431,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0000000000291,300.0,429300.0,300.0,300.0000000000291,300.0,429300.0,0.0,230400.0,1086.7924528301887,1555200.0,300.0,230700.0,1386.7924528301887,1984500.0,300.0,230700.0,1386.7924528301887,1984500.0,0.0,0,0.0,0.0
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,2400.0,234693.877626,8763.031061042246,35052124.24416898,4000
processing_time,2400.0,50518.935224,8428.76958146799,33715078.32587196,4000
idle_cycle_time,2400.0,245986.203178,17805.73647958075,71222945.91832301,4000
idle_processing_time,2400.0,245400.0,17471.47500000649,69885900.00002596,4000
waiting_time,0.0,230493.877626,334.26147957424985,1337045.9182969993,4000
idle_time,0.0,201895.207515,9042.70541853851,36170821.674154036,4000
