started_at,2012-04-23 09:00:00+00:00
completed_at,2013-01-25 11:51:16.869545+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_2,Pucci,1.4784523551816893,13198,8488500.0,5741476.869545002,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_1,DIO,1.0771618767298294,13198,6184500.0,5741476.869545002,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_3,Jonathan,2.381617188520283,21654,13674000.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_2,Jolyne,2.3314036273494185,21654,13385700.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_1,Giorno,2.3514681512720115,21654,13500900.0,5741476.869545002,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
M,3252,1.7976931348623157e+308,0,0,0,0.0,531.1782769999991,7.815712897912238,25416.698344010598,299.9999999999991,300.00000000023283,300.00000000000006,975600.0000000002,299.9999999999991,831.1782769999991,307.8157128979123,1001016.6983440109,0.0,230400.0,708.4870848708487,2304000.0,299.9999999999991,230700.0,1016.302797768761,3305016.698344011,299.9999999999991,230700.0,1008.4870848708487,3279600.0,0.0,0,0.0,0.0
C,1165,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999982,300.0,300.0,349500.0,299.9999999999982,300.0,300.0,349500.0,0.0,230400.0,444.9785407725322,518400.0,299.9999999999982,230700.0,744.9785407725321,867900.0,299.9999999999982,230700.0,744.9785407725321,867900.0,0.0,0,0.0,0.0
D,1165,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,349500.0,300.0,300.0,300.0,349500.0,0.0,230400.0,741.6309012875537,864000.0,300.0,230700.0,1041.6309012875536,1213500.0,300.0,230700.0,1041.6309012875536,1213500.0,0.0,0,0.0,0.0
O,3223,1.7976931348623157e+308,0,0,0,0.0,531.1782769999991,9.05025454514201,29168.9703989927,299.9999999990687,300.0,299.9999999999997,966899.9999999991,299.9999999990687,831.1782769999991,309.05025454514174,996068.9703989918,0.0,230400.0,804.219671113869,2592000.0,300.0,230700.0,1113.2699256590108,3588068.970398992,300.0,230700.0,1104.2196711138688,3558899.999999999,0.0,0,0.0,0.0
J,3244,1.7976931348623157e+308,0,0,0,0.0,57805.2913449998,25.354777339079497,82250.89768797389,300.0,300.00000000023283,300.00000000000006,973200.0000000002,300.0,58105.2913449998,325.3547773390796,1055450.8976879742,0.0,230400.0,1012.0838471023428,3283200.0,300.0,230874.1148359999,1337.4386244414225,4338650.897687974,300.0,230700.0,1312.0838471023428,4256400.0,0.0,0,0.0,0.0
K,3244,1.7976931348623157e+308,0,0,0,0.0,356.6555320000043,6.764181597103505,21943.00510100377,300.0,300.0,300.0,973200.0,300.0,656.6555320000043,306.7641815971035,995143.0051010038,0.0,230400.0,656.9667077681875,2131200.0,300.0,230700.0,963.7308893652909,3126343.0051010037,300.0,230700.0,956.9667077681875,3104400.0,0.0,0,0.0,0.0
E,1001,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999709,300.0,300.0,300300.0,299.9999999999709,300.0,300.0,300300.0,0.0,230400.0,748.0519480519481,748800.0,299.9999999999709,230700.0,1048.051948051948,1049100.0,299.9999999999709,230700.0,1048.051948051948,1049100.0,0.0,0,0.0,0.0
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,0.0,23938800.0,10579512.579864731,38996083369.3814,3686
processing_time,0,46475.117997,7176.565038045302,26452818.73023498,3686
idle_cycle_time,0.0,23943076.869545,10587320.713687241,39024864150.65117,3686
idle_processing_time,0,243300.0,14984.698860553446,55233600.0,3686
waiting_time,0,230849.355246,271.29935830575135,1000009.4347149995,3686
idle_time,0,201893.370949,7808.133822508142,28780781.269765012,3686
