started_at,2012-03-21 10:10:00+00:00
completed_at,2012-03-21 14:05:00+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_2,Pucci,0.2127659574468085,20,3000.0,14100.0,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a_1,DIO,0.2127659574468085,18,3000.0,14100.0,sid-c37284cb-a9b5-40fa-b68d-b9a5be8d266a,Evil
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_3,Jonathan,0.8085106382978723,74,11400.0,14100.0,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_2,Jolyne,0.8297872340425532,76,11700.0,14100.0,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b_1,Giorno,0.8297872340425532,78,11700.0,14100.0,sid-22f6798d-45ac-46ee-a88b-fe03fb8f2a7b,Good
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,3,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,299.9999999999998,300.0,299.99999999999994,899.9999999999998,299.9999999999998,300.0,299.99999999999994,899.9999999999998,0.0,0,0.0,0.0,299.9999999999998,300.0,299.99999999999994,899.9999999999998,299.9999999999998,300.0,299.99999999999994,899.9999999999998,0.0,0,0.0,0.0
B,3,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,900.0,300.0,300.0,300.0,900.0,0.0,0,0.0,0.0,300.0,300.0,300.0,900.0,300.0,300.0,300.0,900.0,0.0,0,0.0,0.0
F,2,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,600.0,300.0,300.0,300.0,600.0,0.0,0,0.0,0.0,300.0,300.0,300.0,600.0,300.0,300.0,300.0,600.0,0.0,0,0.0,0.0
E,1,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0,0.0,0.0
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,0.0,14100.0,5610.0,112200.0,20
processing_time,0,7800.0,2040.0,40800.0,20
idle_cycle_time,0.0,14100.0,5610.0,112200.0,20
idle_processing_time,0,7800.0,2040.0,40800.0,20
waiting_time,0,18900.0,6642.149192300001,132842.98384600002,20
idle_time,0,0,0.0,0.0,20
