distance,metric,status,gateway_probabilities,epsilon,eta,prioritize_parallelism,replace_or_joins,output_dir,f_score,project_name,optimization_metric,mining_algorithm
0.28870292887029286,two_gram_distance,ok,discovery,0.08681647541995545,0.38795526291951676,True,True,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015338_F6065B40_9991_4690_9720_870D23D4327F,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.2901960784313726,two_gram_distance,ok,discovery,0.29284163682154174,0.34547761376834185,True,True,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015519_EA3D4BA8_F8B1_4EDA_B392_4FD8E42E276E,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.290448343079922,two_gram_distance,ok,discovery,0.24792759018106902,0.6092481499766418,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015545_36C17326_711E_4378_846D_D27E45272E79,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.29273084479371314,two_gram_distance,ok,discovery,0.23963931449896542,0.35153754875778526,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015558_76D486DE_DA49_48FC_89CE_8E8DD0B3B39D,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.2927536231884058,two_gram_distance,ok,discovery,0.32423713701452905,0.5735722780777031,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015247_3ED647B2_3B9D_4024_84D7_90543A8A993F,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.2962607861936721,two_gram_distance,ok,discovery,0.20182326179697585,0.6830914575732223,True,True,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015441_1ED9E06C_FBA2_4547_BF72_87E94E874ACD,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.29640427599611274,two_gram_distance,ok,discovery,0.23963931449896542,0.35153754875778526,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015558_76D486DE_DA49_48FC_89CE_8E8DD0B3B39D,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.2968299711815562,two_gram_distance,ok,discovery,0.32423713701452905,0.5735722780777031,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015247_3ED647B2_3B9D_4024_84D7_90543A8A993F,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.2971926427879961,two_gram_distance,ok,discovery,0.39828477470185186,0.6299114432259234,True,False,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015740_D6C8550E_F425_49A9_9249_B998E0F64089,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
0.3007662835249042,two_gram_distance,ok,discovery,0.37347716060335856,0.5166432835516128,True,True,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\control-flow\iteration_20250303_015453_8AC554F6_452B_4239_BFCC_56A7ADA939B2,,AcademicCredentials_train,TWO_GRAM_DISTANCE,Split Miner v1
