distance,metric,status,discovery_type,granularity,confidence,support,participation,output_dir,discover_prioritization_rules,discover_batching_rules
2.106297281051948,circadian_event_distribution,ok,differentiated_by_resource,60,0.8064869405244384,0.41200636429695764,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020252_2FB3D95B_8707_4D01_843F_260578AFF8AF,False,False
2.243643222165906,circadian_event_distribution,ok,differentiated_by_resource,60,0.8311202658989184,0.49539502592325063,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020605_BCD6EEED_0308_461C_B6FA_F3ACAFC287FB,False,False
2.2781313274040187,circadian_event_distribution,ok,differentiated_by_resource,60,0.8093643731114524,0.40831280734087694,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020306_792D08F7_8D7A_4111_8820_9C2344D422A2,False,False
2.2890650381714055,circadian_event_distribution,ok,differentiated_by_resource,60,0.8064869405244384,0.41200636429695764,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020252_2FB3D95B_8707_4D01_843F_260578AFF8AF,False,False
2.2958474727686826,circadian_event_distribution,ok,differentiated_by_resource,60,0.8015309908980006,0.4310178010491867,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020149_22177315_8F8E_41A7_B84B_0942811D8934,False,False
2.3296710701053978,circadian_event_distribution,ok,differentiated_by_resource,60,0.8093643731114524,0.40831280734087694,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020306_792D08F7_8D7A_4111_8820_9C2344D422A2,False,False
2.329940884602022,circadian_event_distribution,ok,differentiated_by_resource,60,0.7891466392101184,0.454996981952445,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020222_0F035A08_1CE8_4832_9FCD_4C1345F77D24,False,False
2.3320229700596635,circadian_event_distribution,ok,differentiated_by_resource,60,0.7785069688134688,0.3809698351727554,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_015918_E3BD2C9D_6613_44C2_A514_F1D5AF232B7D,False,False
2.3526237291091037,circadian_event_distribution,ok,differentiated_by_resource,60,0.7891466392101184,0.454996981952445,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020222_0F035A08_1CE8_4832_9FCD_4C1345F77D24,False,False
2.3571904945759994,circadian_event_distribution,ok,differentiated_by_resource,60,0.803203880697487,0.41759057839967023,0.4,C:\Users\David\Downloads\simod-softwarex\outputs\20250303_015133_F8CDB699_7C51_47E4_B375_FFF5B602E68E\resource_model\iteration_20250303_020351_A28B89EB_C642_4769_8D3A_823F84D840D4,False,False
