run_num,metric,distance
0,three_gram_distance,0.22263728053791557
0,two_gram_distance,0.17595436594997807
0,absolute_event_distribution,157.03459656745747
0,relative_event_distribution,99.86798429924592
0,circadian_event_distribution,3.8307670706300287
0,arrival_event_distribution,96.44472361809045
0,cycle_time_distribution,103.48994974874371
0,circadian_workforce_distribution,3.3712436918703594
1,three_gram_distance,0.2235734331150608
1,two_gram_distance,0.17344471312376347
1,absolute_event_distribution,209.42769737179157
1,relative_event_distribution,102.69621608005873
1,circadian_event_distribution,3.6567279226393667
1,arrival_event_distribution,119.16080402010051
1,cycle_time_distribution,101.60050251256283
1,circadian_workforce_distribution,3.208565767194821
2,three_gram_distance,0.21831379117811278
2,two_gram_distance,0.1684509504041949
2,absolute_event_distribution,307.2568678574114
2,relative_event_distribution,95.15332424672032
2,circadian_event_distribution,3.7966265729685893
2,arrival_event_distribution,173.83668341708542
2,cycle_time_distribution,104.8391959798995
2,circadian_workforce_distribution,3.348225044524552
3,three_gram_distance,0.23662437948152235
3,two_gram_distance,0.1897480077536076
3,absolute_event_distribution,177.91868093153533
3,relative_event_distribution,90.95207989043573
3,circadian_event_distribution,3.825471936690697
3,arrival_event_distribution,115.48492462311557
3,cycle_time_distribution,95.1180904522613
3,circadian_workforce_distribution,3.2272566756305388
4,three_gram_distance,0.22858742302668408
4,two_gram_distance,0.17904887135656367
4,absolute_event_distribution,334.30571263931233
4,relative_event_distribution,106.07346531760217
4,circadian_event_distribution,3.7283311995326907
4,arrival_event_distribution,188.21608040201005
4,cycle_time_distribution,113.84422110552764
4,circadian_workforce_distribution,3.3089556628035846
5,three_gram_distance,0.22929936305732485
5,two_gram_distance,0.1814178775869661
5,absolute_event_distribution,282.73984005274065
5,relative_event_distribution,89.32388691606509
5,circadian_event_distribution,3.8320418583261957
5,arrival_event_distribution,168.2286432160804
5,cycle_time_distribution,93.98994974874373
5,circadian_workforce_distribution,3.402619713330097
6,three_gram_distance,0.20494567253653054
6,two_gram_distance,0.1571994715984148
6,absolute_event_distribution,206.92829766254656
6,relative_event_distribution,94.78966375541862
6,circadian_event_distribution,3.8628261212730584
6,arrival_event_distribution,87.8140703517588
6,cycle_time_distribution,111.12311557788944
6,circadian_workforce_distribution,3.3519265333435406
7,three_gram_distance,0.22400897531787584
7,two_gram_distance,0.1757469244288225
7,absolute_event_distribution,205.10645154689803
7,relative_event_distribution,86.79009794292575
7,circadian_event_distribution,3.669654388497092
7,arrival_event_distribution,102.17839195979899
7,cycle_time_distribution,93.60301507537687
7,circadian_workforce_distribution,3.2561523703648434
8,three_gram_distance,0.23036253776435045
8,two_gram_distance,0.17777777777777778
8,absolute_event_distribution,214.73978810254397
8,relative_event_distribution,102.13414178494534
8,circadian_event_distribution,3.521493999231298
8,arrival_event_distribution,108.05276381909547
8,cycle_time_distribution,108.61306532663318
8,circadian_workforce_distribution,3.120002572800437
9,three_gram_distance,0.2362627197039778
9,two_gram_distance,0.18854415274463007
9,absolute_event_distribution,224.60204449415855
9,relative_event_distribution,104.85872358936118
9,circadian_event_distribution,3.639421122100183
9,arrival_event_distribution,108.93467336683418
9,cycle_time_distribution,113.55025125628141
9,circadian_workforce_distribution,3.239749696146659
